,DATE,SP500
971,2022-07-19,3936.69
972,2022-07-20,3959.9
973,2022-07-21,3998.95
974,2022-07-22,3961.63
975,2022-07-25,3966.84
976,2022-07-26,3921.05
977,2022-07-27,4023.61
978,2022-07-28,4072.43
979,2022-07-29,4130.29
980,2022-08-01,4118.63
981,2022-08-02,4091.19
982,2022-08-03,4155.17
983,2022-08-04,4151.94
984,2022-08-05,4145.19
985,2022-08-08,4140.06
986,2022-08-09,4122.47
987,2022-08-10,4210.24
988,2022-08-11,4207.27
989,2022-08-12,4280.15
990,2022-08-15,4297.14
991,2022-08-16,4305.2
992,2022-08-17,4274.04
993,2022-08-18,4283.74
994,2022-08-19,4228.48
995,2022-08-22,4137.99
996,2022-08-23,4128.73
997,2022-08-24,4140.77
998,2022-08-25,4199.12
999,2022-08-26,4057.66
1000,2022-08-29,4030.61
1001,2022-08-30,3986.16
1002,2022-08-31,3955
1003,2022-09-01,3966.85
